종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"010580","에스엠벡셀","KOSPI","운송장비·부품","1221","1","0.08","135838398960"
"012750","에스원","KOSPI","일반서비스","61300","-1100","-1.76","2329349611400"
"023960","에쓰씨엔지니어링","KOSPI","건설","1281","1","0.08","44910049947"
"298690","에어부산","KOSPI","운송·창고","2160","-10","-0.46","251942400000"
"140910","에이리츠","KOSPI","부동산","3130","0","0.00","13969290160"
"078520","에이블씨엔씨","KOSPI","화학","6880","-70","-1.01","178977427680"
"015260","에이엔피","KOSPI","전기·전자","480","-5","-1.03","21656109120"
"007460","에이프로젠","KOSPI","금속","756","-21","-2.70","235740967056"
"003060","에이프로젠바이오로직스","KOSPI","제약","800","-13","-1.60","158726276000"
"244920","에이플러스에셋","KOSPI","기타금융","3990","-35","-0.87","90204695070"
"278470","에이피알","KOSPI","화학","67800","-900","-1.31","2524977429000"
"450080","에코프로머티","KOSPI","전기·전자","68600","-3300","-4.59","4784065764800"
"019490","엑시큐어하이트론","KOSPI","전기·전자","750","-73","-8.87","57324202500"
"036570","엔씨소프트","KOSPI","IT 서비스","163300","600","0.37","3585091792600"
"085310","엔케이","KOSPI","금속","850","-10","-1.16","67048273700"
"900140","엘브이엠씨홀딩스","KOSPI","유통","1788","43","2.46","306800078868"
"066970","엘앤에프","KOSPI","전기·전자","71300","-1900","-2.60","2587988506200"
"097520","엠씨넥스","KOSPI","전기·전자","24250","-400","-1.62","435960001000"
"484870","엠앤씨솔루션","KOSPI","기계·장비","85000","4500","5.59","778081500000"
"014440","영보화학","KOSPI","화학","4390","-210","-4.57","87800000000"
"111770","영원무역","KOSPI","유통","52700","-100","-0.19","2335214363600"
"009970","영원무역홀딩스","KOSPI","기타금융","96700","0","0.00","1318561746400"
"003520","영진약품","KOSPI","제약","1980","-15","-0.75","362127607380"
"000670","영풍","KOSPI","금속","480000","-11000","-2.24","884179200000"
"006740","영풍제지","KOSPI","종이·목재","994","-6","-0.60","55571774692"
"012280","영화금속","KOSPI","운송장비·부품","801","-33","-3.96","41383268505"
"012160","영흥","KOSPI","금속","398","-3","-0.75","40321528056"
"015360","예스코홀딩스","KOSPI","일반서비스","46600","100","0.22","279600000000"
"007310","오뚜기","KOSPI","음식료·담배","426500","3000","0.71","1709339495000"
"002630","오리엔트바이오","KOSPI","제약","1380","-158","-10.27","163644546900"
"271560","오리온","KOSPI","음식료·담배","121900","2500","2.09","4819454490800"
"001800","오리온홀딩스","KOSPI","기타금융","15790","-350","-2.17","989171213380"
"005320","온타이드","KOSPI","유통","446","2","0.45","30114910566"
"011690","와이투솔루션","KOSPI","전기·전자","2325","25","1.09","85035466050"
"316140","우리금융지주","KOSPI","기타금융","16790","60","0.36","12468111301790"
"006980","우성","KOSPI","음식료·담배","14320","-160","-1.10","44248800000"
"017370","우신시스템","KOSPI","기계·장비","6130","-40","-0.65","112265151020"
"105840","우진","KOSPI","의료·정밀기기","7460","60","0.81","151614160440"
"010400","우진아이엔에스","KOSPI","건설","2810","-50","-1.75","21417820000"
"049800","우진플라임","KOSPI","기계·장비","2035","20","0.99","40700000000"
"016880","웅진","KOSPI","일반서비스","864","7","0.82","69056997120"
"095720","웅진씽크빅","KOSPI","일반서비스","1518","-21","-1.36","175338085230"
"005820","원림","KOSPI","섬유·의류","13960","20","0.14","32079661200"
"010600","웰바이오텍","KOSPI","유통","545","0","0.00","49553256815"
"008600","윌비스","KOSPI","유통","467","-200","-29.99","31399230213"
"033270","유나이티드제약","KOSPI","제약","19740","300","1.54","322429646280"
"014830","유니드","KOSPI","화학","76800","-2200","-2.78","519751680000"
"446070","유니드비티플러스","KOSPI","종이·목재","4035","-25","-0.62","42816252525"
