종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"212560","네오오토","8430","-140","-1.63","1514","5.57",,,"13688","0.62","150","1.78"
"095660","네오위즈","21950","700","3.29","2380","9.22","1459","15.04","24005","0.91","245","1.12"
"042420","네오위즈홀딩스","18930","370","1.99","1049","18.05",,,"50721","0.37","0","0.00"
"311390","네오크레마","7410","850","12.96",,,,,"4091","1.81","0","0.00"
"085910","네오티스","3005","-5","-0.17",,,,,"3789","0.79","200","6.66"
"092730","네오팜","12770","90","0.71","1520","8.40",,,"10478","1.22","750","5.87"
"290660","네오펙트","795","9","1.15",,,,,"749","1.06","0","0.00"
"306620","네온테크","2385","-10","-0.42",,,,,"1012","2.36","0","0.00"
"153460","네이블","6970","50","0.72",,,,,"4889","1.43","0","0.00"
"007390","네이처셀","17110","620","3.76",,,,,"957","17.88","0","0.00"
"033640","네패스","7810","-10","-0.13",,,,,"6510","1.20","0","0.00"
"330860","네패스아크","12610","-190","-1.48",,,,,"18528","0.68","0","0.00"
"005720","넥센","4515","0","0.00","778","5.80",,,"22055","0.20","125","2.77"
"005725","넥센우","3170","0","0.00",,,,,,,"130","4.10"
"002350","넥센타이어","5440","-10","-0.18","1001","5.43","1345","4.04","16524","0.33","115","2.11"
"002355","넥센타이어1우B","2850","35","1.24",,,,,,,"120","4.21"
"089140","넥스턴바이오","2300","-50","-2.13","1087","2.12",,,"14687","0.16","0","0.00"
"389650","넥스트바이오메디컬","42000","-1100","-2.55",,,"720","58.32",,,"0","0.00"
"137940","넥스트아이","409","3","0.74",,,,,"1099","0.37","0","0.00"
"396270","넥스트칩","7300","110","1.53",,,,,"1625","4.49","0","0.00"
"348210","넥스틴","62800","3900","6.62","3088","20.34","4361","14.40","12469","5.04","500","0.80"
"092790","넥스틸","16150","-580","-3.47","5470","2.95",,,"17112","0.94","700","4.33"
"225570","넥슨게임즈","12690","470","3.85","177","71.69","169","75.08","4117","3.08","0","0.00"
"205500","넥써쓰","2935","-60","-2.00",,,,,"580","5.06","0","0.00"
"217270","넵튠","6940","10","0.14",,,,,"8233","0.84","0","0.00"
"251270","넷마블","40900","900","2.25",,,"1996","20.49","60774","0.67","0","0.00"
"104620","노랑풍선","4780","60","1.27","374","12.78",,,"2543","1.88","0","0.00"
"090350","노루페인트","7760","-10","-0.13","1362","5.70",,,"18290","0.42","325","4.19"
"090355","노루페인트우","12700","-90","-0.70",,,,,,,"330","2.60"
"000320","노루홀딩스","14150","-10","-0.07","2429","5.83",,,"39422","0.36","500","3.53"
"000325","노루홀딩스우","28600","-100","-0.35",,,,,,,"505","1.77"
"473980","노머스","20650","1470","7.66",,,,,"4178","4.94","0","0.00"
"194700","노바렉스","8850","-140","-1.56","1245","7.11",,,"11311","0.78","200","2.26"
"285490","노바텍","14360","-340","-2.31","2930","4.90",,,"15227","0.94","500","3.48"
"145170","노브랜드","6250","0","0.00","59","105.93",,,"7619","0.82","0","0.00"
"106520","노블엠앤비","411","0","0.00",,,,,"1432","0.29","0","0.00"
"376930","노을","2795","-110","-3.79",,,,,"1164","2.40","0","0.00"
"006280","녹십자","132000","-1500","-1.12",,,"2955","44.67","113924","1.16","1500","1.14"
"142280","녹십자엠에스","3905","15","0.39","85","45.94",,,"1636","2.39","0","0.00"
"234690","녹십자웰빙","8600","60","0.70","380","22.63",,,"5655","1.52","100","1.16"
"005250","녹십자홀딩스","13730","-220","-1.58",,,,,"21591","0.64","300","2.18"
"005257","녹십자홀딩스2우","21200","300","1.44",,,,,,,"300","1.42"
"004370","농심","428000","1500","0.35","29728","14.40","30142","14.20","420264","1.02","5000","1.17"
"072710","농심홀딩스","66800","-400","-0.60","14478","4.61",,,"242037","0.28","2500","3.74"
"054050","농우바이오","7490","10","0.13","645","11.61",,,"16055","0.47","200","2.67"
"069140","누리플랜","1372","37","2.77",,,,,"2944","0.47","0","0.00"
"040160","누리플렉스","2555","-15","-0.58","260","9.83",,,"7304","0.35","50","1.96"
"332290","누보","1007","2","0.20",,,,,"705","1.43","0","0.00"
"348340","뉴로메카","27000","-800","-2.88",,,,,"2284","11.82","0","0.00"
"060260","뉴보텍","1088","-16","-1.45",,,,,"1429","0.76","0","0.00"
"123840","뉴온","1165","22","1.92",,,,,"3730","0.31","0","0.00"
"012340","뉴인텍","495","0","0.00",,,,,"625","0.79","0","0.00"
"270870","뉴트리","5580","20","0.36","513","10.88",,,"11096","0.50","0","0.00"
"144960","뉴파워프라즈마","4880","-5","-0.10","475","10.27",,,"6007","0.81","50","1.02"
"085670","뉴프렉스","4780","0","0.00","278","17.19","771","6.20","2991","1.60","0","0.00"
"064260","다날","2875","-20","-0.69",,,,,"4363","0.66","0","0.00"
"340360","다보링크","1688","88","5.50",,,,,"387","4.36","0","0.00"
"039560","다산네트웍스","2885","-35","-1.20",,,,,"7672","0.38","0","0.00"
"154040","다산솔루에타","1016","-19","-1.84","1491","0.68",,,"3322","0.31","0","0.00"
"058730","다스코","2900","5","0.17","764","3.80",,,"8251","0.35","100","3.45"
"030210","다올투자증권","3075","205","7.14",,,,,"9510","0.32","150","4.88"
"023590","다우기술","21600","-200","-0.92","5237","4.12",,,"58374","0.37","700","3.24"
"032190","다우데이타","11680","630","5.70","1660","7.04",,,"30801","0.38","250","2.14"
"323350","다원넥스뷰","6590","-160","-2.37",,,,,,,"0","0.00"
"068240","다원시스","9940","190","1.95","108","92.04",,,"6041","1.65","0","0.00"
"145210","다이나믹디자인","1126","0","0.00",,,,,"1512","0.74","0","0.00"
"464580","닷밀","5690","-20","-0.35",,,"634","8.97","106","53.68","0","0.00"
"019680","대교","2135","0","0.00",,,"16","132.73","3754","0.57","0","0.00"
"019685","대교우B","1271","0","0.00",,,,,,,"45","3.54"
"006370","대구백화점","8000","80","1.01",,,,,"23714","0.34","50","0.63"
"008060","대덕","7100","-40","-0.56","364","19.51",,,"17308","0.41","400","5.63"
"00806K","대덕1우","7300","-30","-0.41",,,,,,,"405","5.55"
"353200","대덕전자","18600","450","2.48","492","37.80","1000","18.60","16857","1.10","300","1.61"
"35320K","대덕전자1우","8100","20","0.25",,,,,,,"305","3.77"
"000490","대동","11150","-280","-2.45","794","14.04",,,"19071","0.58","100","0.90"
"020400","대동금속","6590","60","0.92","260","25.35",,,"16443","0.40","60","0.91"
"008830","대동기어","20450","-150","-0.73","308","66.40",,,"9686","2.11","40","0.20"
"048470","대동스틸","5020","-100","-1.95",,,,,"7347","0.68","30","0.60"
"008110","대동전자","15040","0","0.00","3427","4.39",,,"32490","0.46","0","0.00"
"004780","대륙제관","3815","30","0.79","822","4.64",,,"8909","0.43","110","2.88"
"005750","대림B&Co","3970","-5","-0.13",,,,,"9208","0.43","110","2.77"
"017650","대림제지","6650","0","0.00","2201","3.02",,,"31419","0.21","100","1.50"
"006570","대림통상","2340","20","0.86",,,,,"4687","0.50","0","0.00"
"007720","대명소노시즌","869","2","0.23",,,,,"1140","0.76","0","0.00"
"389260","대명에너지","12280","-240","-1.92","360","34.11",,,"7094","1.73","0","0.00"
"317850","대모","8540","-170","-1.95",,,,,"5568","1.53","40","0.47"
"290670","대보마그네틱","11800","-330","-2.72",,,,,"9329","1.26","0","0.00"
"078140","대봉엘에스","14840","300","2.06","382","38.85",,,"11027","1.35","50","0.34"
"065150","대산F&B","145","0","0.00",,,,,"205","0.71","0","0.00"
"001680","대상","25500","650","2.62","1862","13.69","3138","8.13","36679","0.70","800","3.14"
"001685","대상우","17600","-110","-0.62",,,,,,,"810","4.60"
"084690","대상홀딩스","11360","-10","-0.09","568","20.00",,,"20000","0.57","270","2.38"
"084695","대상홀딩스우","21700","0","0.00",,,,,,,"280","1.29"
"036480","대성미생물","9040","-70","-0.77",,,,,"9829","0.92","75","0.83"
"128820","대성산업","3395","10","0.30",,,,,"15906","0.21","0","0.00"
"117580","대성에너지","7830","-20","-0.25","549","14.26",,,"11752","0.67","250","3.19"
"027830","대성창투","1775","-3","-0.17","46","38.59",,,"1573","1.13","0","0.00"
"104040","대성파인텍","810","-1","-0.12",,,,,"1618","0.50","0","0.00"
"129920","대성하이텍","4200","155","3.83",,,,,"5446","0.77","0","0.00"
"016710","대성홀딩스","7030","-20","-0.28","9558","0.74",,,"26059","0.27","250","3.56"
"442310","대신밸런스제14호스팩","2130","10","0.47",,,,,,,"0","0.00"
"457390","대신밸런스제15호스팩","2790","-20","-0.71",,,,,,,"0","0.00"
"457630","대신밸런스제16호스팩","2095","0","0.00",,,,,,,"0","0.00"
"471050","대신밸런스제17호스팩","2125","0","0.00",,,,,,,"0","0.00"
